sample_uid	sample_token	gse_id	cancer_type	candidate_policy	input_cells	candidate_cells	reference_cells	infercnv_status	infercnv_output_rows	copykat_status	copykat_output_rows	mapped_cells	unmapped_cells	duplicate_or_conflict_cells
GSE182109|GSM5518622_rGBM-04-4	GSE182109_GSM5518622_rGBM-04-4_6a9d97fab6b5	GSE182109	Glioblastoma	cns_malignancy	6501	3258	2714	success	3258	success	3258	6501	0	0
GSE182109|GSM5518623_ndGBM-03-1	GSE182109_GSM5518623_ndGBM-03-1_9e8ea7737fd2	GSE182109	Glioblastoma	cns_malignancy	3665	2138	1256	success	2138	success	2138	3665	0	0
GSE182109|GSM5518624_ndGBM-03-2	GSE182109_GSM5518624_ndGBM-03-2_899302ae848b	GSE182109	Glioblastoma	cns_malignancy	2426	171	2185	success	171	skipped_insufficient_cells	0	2426	0	0
GSE182109|GSM5518625_ndGBM-03-3	GSE182109_GSM5518625_ndGBM-03-3_bb1587dc8eb0	GSE182109	Glioblastoma	cns_malignancy	3193	1472	1603	success	1472	success	1472	3193	0	0
GSE182109|GSM5518626_rGBM-05-1	GSE182109_GSM5518626_rGBM-05-1_80049c6e9766	GSE182109	Glioblastoma	cns_malignancy	4769	1872	2179	success	1872	success	1872	4769	0	0
GSE182109|GSM5518627_rGBM-05-2	GSE182109_GSM5518627_rGBM-05-2_983ff34d280e	GSE182109	Glioblastoma	cns_malignancy	3151	1464	760	success	1464	success	1464	3151	0	0
GSE182109|GSM5518628_rGBM-05-3	GSE182109_GSM5518628_rGBM-05-3_46bca155a8de	GSE182109	Glioblastoma	cns_malignancy	1894	463	1070	success	463	success	463	1894	0	0
GSE182109|GSM5518629_ndGBM-10	GSE182109_GSM5518629_ndGBM-10_1514b6cdbd91	GSE182109	Glioblastoma	cns_malignancy	11183	0	9993	skipped_insufficient_cells	0	skipped_insufficient_cells	0	11183	0	0
GSE182109|GSM5518630_LGG-04-1	GSE182109_GSM5518630_LGG-04-1_ed6a48f86b76	GSE182109	Glioblastoma	cns_malignancy	5513	3440	1647	success	3440	success	3440	5513	0	0
GSE182109|GSM5518631_LGG-04-2	GSE182109_GSM5518631_LGG-04-2_1883bb112a85	GSE182109	Glioblastoma	cns_malignancy	2491	1042	1320	success	1042	success	1042	2491	0	0
GSE182109|GSM5518632_LGG-04-3	GSE182109_GSM5518632_LGG-04-3_0b24c1466ba4	GSE182109	Glioblastoma	cns_malignancy	5501	4720	646	success	4720	success	4720	5501	0	0
GSE182109|GSM5518633_ndGBM-04	GSE182109_GSM5518633_ndGBM-04_c6b447d392a2	GSE182109	Glioblastoma	cns_malignancy	7444	3925	2622	success	3925	success	3925	7444	0	0
GSE182109|GSM5518634_ndGBM-05	GSE182109_GSM5518634_ndGBM-05_09bcbbcbb9ee	GSE182109	Glioblastoma	cns_malignancy	6458	2636	2357	success	2636	success	2636	6458	0	0
GSE182109|GSM5518635_ndGBM-06	GSE182109_GSM5518635_ndGBM-06_7171e8e7f955	GSE182109	Glioblastoma	cns_malignancy	3238	1924	68	success	1924	success	1924	3238	0	0
GSE182109|GSM5518636_ndGBM-07	GSE182109_GSM5518636_ndGBM-07_b72f077bff84	GSE182109	Glioblastoma	cns_malignancy	9171	383	7143	success	383	success	383	9171	0	0
GSE182109|GSM5518637_ndGBM-08	GSE182109_GSM5518637_ndGBM-08_72f5f317cd74	GSE182109	Glioblastoma	cns_malignancy	5816	1004	3653	success	1004	success	1004	5816	0	0
GSE182109|GSM5518638_LGG-03	GSE182109_GSM5518638_LGG-03_33fce5f6323b	GSE182109	Glioblastoma	cns_malignancy	7400	2932	3967	success	2932	success	2932	7400	0	0
GSE182109|GSM5518639_ndGBM-09	GSE182109_GSM5518639_ndGBM-09_55176ce30fdd	GSE182109	Glioblastoma	cns_malignancy	5202	920	3359	success	920	success	920	5202	0	0
GSE253013|US-10029425-1	GSE253013_US-10029425-1_b5a64d2b023c	GSE253013	ADENOCARCINOMA	epithelial_solid_default	5111	162	3828	success	162	skipped_insufficient_cells	0	5111	0	0
GSE253013|US-10029425-2	GSE253013_US-10029425-2_974a2a138ce1	GSE253013	ADENOCARCINOMA	epithelial_solid_default	4712	150	3496	success	150	skipped_insufficient_cells	0	4712	0	0
GSE253013|US-10029425-3	GSE253013_US-10029425-3_c9278f10076d	GSE253013	ADENOCARCINOMA	epithelial_solid_default	3897	120	2898	success	120	skipped_insufficient_cells	0	3897	0	0
GSE253013|US-10029425-4	GSE253013_US-10029425-4_7967b1f62b6b	GSE253013	ADENOCARCINOMA	epithelial_solid_default	4724	143	3402	success	143	skipped_insufficient_cells	0	4724	0	0
GSE253013|US-10029425-5	GSE253013_US-10029425-5_70bc584c84cc	GSE253013	ADENOCARCINOMA	epithelial_solid_default	5399	28	4583	skipped_insufficient_cells	0	skipped_insufficient_cells	0	5399	0	0
GSE253013|US-10029425-6	GSE253013_US-10029425-6_e3e079fb09e7	GSE253013	ADENOCARCINOMA	epithelial_solid_default	5255	31	4398	success	31	skipped_insufficient_cells	0	5255	0	0
GSE253013|US-10029425-7	GSE253013_US-10029425-7_89f2a3977c0e	GSE253013	ADENOCARCINOMA	epithelial_solid_default	5526	25	4611	skipped_insufficient_cells	0	skipped_insufficient_cells	0	5526	0	0
GSE253013|US-10029426-1	GSE253013_US-10029426-1_dc5ed0d3ba37	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2912	3	2461	skipped_insufficient_cells	0	skipped_insufficient_cells	0	2912	0	0
GSE253013|US-10029426-2	GSE253013_US-10029426-2_cfe1e015e4f5	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2537	3	2155	skipped_insufficient_cells	0	skipped_insufficient_cells	0	2537	0	0
GSE253013|US-10029426-3	GSE253013_US-10029426-3_16f6abd181f9	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2716	0	2319	skipped_insufficient_cells	0	skipped_insufficient_cells	0	2716	0	0
GSE253013|US-10029426-4	GSE253013_US-10029426-4_f98bf494b361	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2751	3	2304	skipped_insufficient_cells	0	skipped_insufficient_cells	0	2751	0	0
GSE253013|US-10029426-5	GSE253013_US-10029426-5_bcca5c8034a3	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2373	149	1493	success	149	skipped_insufficient_cells	0	2373	0	0
GSE253013|US-10029426-6	GSE253013_US-10029426-6_0dad8f8353a0	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2372	156	1464	success	156	skipped_insufficient_cells	0	2372	0	0
GSE253013|US-10029426-7	GSE253013_US-10029426-7_7c85116b8565	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2495	177	1553	success	177	skipped_insufficient_cells	0	2495	0	0
GSE253013|US-10029426-8	GSE253013_US-10029426-8_565bea3c18bd	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2229	175	1337	success	175	skipped_insufficient_cells	0	2229	0	0
GSE253013|US-10029431-1	GSE253013_US-10029431-1_753086f7ab73	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2492	7	1758	skipped_insufficient_cells	0	skipped_insufficient_cells	0	2492	0	0
GSE253013|US-10029431-2	GSE253013_US-10029431-2_29de77514e99	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2582	4	1804	skipped_insufficient_cells	0	skipped_insufficient_cells	0	2582	0	0
GSE253013|US-10029431-3	GSE253013_US-10029431-3_8cfe1211f3c6	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2293	8	1628	skipped_insufficient_cells	0	skipped_insufficient_cells	0	2293	0	0
GSE253013|US-10029431-4	GSE253013_US-10029431-4_11e69bb4dff0	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2424	6	1703	skipped_insufficient_cells	0	skipped_insufficient_cells	0	2424	0	0
GSE253013|US-10029431-5	GSE253013_US-10029431-5_714557fdafa1	GSE253013	ADENOCARCINOMA	epithelial_solid_default	1819	946	77	success	946	success	946	1819	0	0
GSE253013|US-10029431-6	GSE253013_US-10029431-6_20c00673c903	GSE253013	ADENOCARCINOMA	epithelial_solid_default	1755	763	87	success	763	success	763	1755	0	0
GSE253013|US-10029431-7	GSE253013_US-10029431-7_e9dd6f8b7557	GSE253013	ADENOCARCINOMA	epithelial_solid_default	1780	780	92	success	780	success	780	1780	0	0
GSE253013|US-10029431-8	GSE253013_US-10029431-8_8d10819dbd92	GSE253013	ADENOCARCINOMA	epithelial_solid_default	1516	871	75	success	871	success	871	1516	0	0
GSE253013|US-10029432-1	GSE253013_US-10029432-1_5aa1d45b2e28	GSE253013	ADENOCARCINOMA	epithelial_solid_default	4300	9	3465	skipped_insufficient_cells	0	skipped_insufficient_cells	0	4300	0	0
GSE253013|US-10029432-2	GSE253013_US-10029432-2_04ffc5ef0e28	GSE253013	ADENOCARCINOMA	epithelial_solid_default	4474	7	3626	skipped_insufficient_cells	0	skipped_insufficient_cells	0	4474	0	0
GSE253013|US-10029432-3	GSE253013_US-10029432-3_4b18c72002c8	GSE253013	ADENOCARCINOMA	epithelial_solid_default	4121	4	3354	skipped_insufficient_cells	0	skipped_insufficient_cells	0	4121	0	0
GSE253013|US-10029432-4	GSE253013_US-10029432-4_f06d8ae060d9	GSE253013	ADENOCARCINOMA	epithelial_solid_default	4148	2	3414	skipped_insufficient_cells	0	skipped_insufficient_cells	0	4148	0	0
GSE253013|US-10029432-5	GSE253013_US-10029432-5_fd146481ecae	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2966	429	219	success	429	success	429	2966	0	0
GSE253013|US-10029432-6	GSE253013_US-10029432-6_6813717d3e1d	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2720	376	218	success	376	success	376	2720	0	0
GSE253013|US-10029432-7	GSE253013_US-10029432-7_787070268da0	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2922	447	214	success	447	success	447	2922	0	0
GSE253013|US-10029432-8	GSE253013_US-10029432-8_4c514bf2ba87	GSE253013	ADENOCARCINOMA	epithelial_solid_default	3017	465	204	success	465	success	465	3017	0	0
GSE274934|GSM8462125_AL02	GSE274934_GSM8462125_AL02_6e6db90cb965	GSE274934	ALK-positive/negative LUAD	epithelial_solid_default	9015	762	4571	success	762	success	762	9015	0	0
GSE274934|GSM8462126_AL03	GSE274934_GSM8462126_AL03_0487064541e2	GSE274934	ALK-positive/negative LUAD	epithelial_solid_default	10726	2171	5689	success	2171	success	2171	10726	0	0
GSE274934|GSM8462127_AL04	GSE274934_GSM8462127_AL04_38a1172b04ec	GSE274934	ALK-positive/negative LUAD	epithelial_solid_default	10198	800	7528	success	800	success	800	10198	0	0
GSE274934|GSM8462128_AL05	GSE274934_GSM8462128_AL05_f44f31d53994	GSE274934	ALK-positive/negative LUAD	epithelial_solid_default	7907	872	4503	success	872	success	872	7907	0	0
GSE274934|GSM8462129_AL06	GSE274934_GSM8462129_AL06_d9cc153416cf	GSE274934	ALK-positive/negative LUAD	epithelial_solid_default	2491	601	1302	success	601	success	601	2491	0	0
GSE274934|GSM8462130_AL08	GSE274934_GSM8462130_AL08_97f29a5cbc07	GSE274934	ALK-positive/negative LUAD	epithelial_solid_default	11550	4514	4214	success	4514	success	4514	11550	0	0
GSE274934|GSM8462131_AL10	GSE274934_GSM8462131_AL10_fe1e06efdfda	GSE274934	ALK-positive/negative LUAD	epithelial_solid_default	11424	2121	4859	success	2121	success	2121	11424	0	0
GSE274934|GSM8462132_AL11	GSE274934_GSM8462132_AL11_34f268419753	GSE274934	ALK-positive/negative LUAD	epithelial_solid_default	14054	2945	6171	success	2945	success	2945	14054	0	0
GSE274934|GSM8462133_AL12	GSE274934_GSM8462133_AL12_cad65fce9cc8	GSE274934	ALK-positive/negative LUAD	epithelial_solid_default	10642	421	4597	success	421	success	421	10642	0	0
GSE148071|P1	GSE148071_P1_f1355d458a0c	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	4935	2971	769	success	2971	success	2971	4935	0	0
GSE148071|P10	GSE148071_P10_7b6e179ba7c8	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	2769	1676	286	success	1676	success	1676	2769	0	0
GSE148071|P11	GSE148071_P11_34f89fcd4a2f	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	492	6	174	skipped_insufficient_cells	0	skipped_insufficient_cells	0	492	0	0
GSE148071|P12	GSE148071_P12_259dc8fe941c	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	774	146	248	success	146	skipped_insufficient_cells	0	774	0	0
GSE148071|P13	GSE148071_P13_c472ddd41414	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	762	94	430	success	94	skipped_insufficient_cells	0	762	0	0
GSE148071|P14	GSE148071_P14_7ccd88482be8	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	1417	527	245	success	527	success	527	1417	0	0
GSE148071|P15	GSE148071_P15_1c1106e5553d	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	2027	204	276	success	204	success	204	2027	0	0
GSE148071|P16	GSE148071_P16_0be17b146e0a	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	761	558	98	success	558	success	558	761	0	0
GSE148071|P17	GSE148071_P17_40f87a38c25e	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	6948	6198	212	success	6198	success	6198	6948	0	0
GSE148071|P18	GSE148071_P18_0978710550aa	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	2242	781	404	success	781	success	781	2242	0	0
GSE148071|P19	GSE148071_P19_3940eb40882e	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	388	90	135	success	90	skipped_insufficient_cells	0	388	0	0
GSE148071|P2	GSE148071_P2_1eb23b8748d2	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	285	248	23	skipped_insufficient_cells	0	success	248	285	0	0
GSE148071|P20	GSE148071_P20_bc49975b5cdd	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	354	307	25	skipped_insufficient_cells	0	success	307	354	0	0
GSE148071|P21	GSE148071_P21_40b048aee1aa	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	1652	1491	117	success	1491	success	1491	1652	0	0
GSE148071|P22	GSE148071_P22_83f8781e94ae	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	591	132	325	success	132	skipped_insufficient_cells	0	591	0	0
GSE148071|P23	GSE148071_P23_891d90c74657	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	1811	612	261	success	612	success	612	1811	0	0
GSE148071|P24	GSE148071_P24_65325eddc2fd	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	355	60	230	success	60	skipped_insufficient_cells	0	355	0	0
GSE148071|P25	GSE148071_P25_286c90508d11	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	2224	1650	261	success	1650	success	1650	2224	0	0
GSE148071|P26	GSE148071_P26_185f1603e84b	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	362	28	189	skipped_insufficient_cells	0	skipped_insufficient_cells	0	362	0	0
GSE148071|P27	GSE148071_P27_bcdeedc0e775	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	522	4	247	skipped_insufficient_cells	0	skipped_insufficient_cells	0	522	0	0
GSE148071|P28	GSE148071_P28_d4a0ee0a7bf6	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	2056	383	1117	success	383	success	383	2056	0	0
GSE148071|P29	GSE148071_P29_b0eccda6c753	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	924	299	92	success	299	success	299	924	0	0
GSE148071|P3	GSE148071_P3_2d0b86759a68	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	7111	6702	189	success	6702	success	6702	7111	0	0
GSE148071|P30	GSE148071_P30_384524324ba1	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	686	505	119	success	505	success	505	686	0	0
GSE148071|P31	GSE148071_P31_f00a510d138e	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	368	149	40	skipped_insufficient_cells	0	skipped_insufficient_cells	0	368	0	0
GSE148071|P32	GSE148071_P32_82f2f6866505	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	522	310	150	success	310	success	310	522	0	0
GSE148071|P33	GSE148071_P33_ee89868ed605	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	314	263	25	skipped_insufficient_cells	0	success	263	314	0	0
GSE148071|P34	GSE148071_P34_08a85547e3e8	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	868	299	342	success	299	success	299	868	0	0
GSE148071|P35	GSE148071_P35_2d5261df5e7a	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	710	432	134	success	432	success	432	710	0	0
GSE148071|P36	GSE148071_P36_9bf836015582	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	406	88	128	success	88	skipped_insufficient_cells	0	406	0	0
GSE148071|P37	GSE148071_P37_06e9d12d7ebd	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	2051	8	1281	skipped_insufficient_cells	0	skipped_insufficient_cells	0	2051	0	0
GSE148071|P38	GSE148071_P38_fdf7fc227f79	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	1059	115	753	success	115	skipped_insufficient_cells	0	1059	0	0
GSE148071|P39	GSE148071_P39_2b10bec38c78	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	1643	341	882	success	341	success	341	1643	0	0
GSE148071|P4	GSE148071_P4_1191619d4399	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	3998	28	1598	skipped_insufficient_cells	0	skipped_insufficient_cells	0	3998	0	0
GSE148071|P40	GSE148071_P40_0475749c0cbb	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	972	83	303	success	83	skipped_insufficient_cells	0	972	0	0
GSE148071|P41	GSE148071_P41_b84d39a0c8fa	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	5825	5032	142	success	5032	success	5032	5825	0	0
GSE148071|P42	GSE148071_P42_c51233c72dc0	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	853	95	525	success	95	skipped_insufficient_cells	0	853	0	0
GSE148071|P5	GSE148071_P5_d1e520c9c246	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	1569	947	424	success	947	success	947	1569	0	0
GSE148071|P6	GSE148071_P6_2e9adf9f5c1f	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	1689	297	171	success	297	success	297	1689	0	0
GSE148071|P7	GSE148071_P7_c50035d520cb	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	2238	96	1466	success	96	skipped_insufficient_cells	0	2238	0	0
GSE148071|P8	GSE148071_P8_59d2ae998683	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	1188	334	586	success	334	success	334	1188	0	0
GSE148071|P9	GSE148071_P9_f0b0c8a7a97b	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	3173	449	310	success	449	success	449	3173	0	0
GSE141526|GSM4205686_BCC2	GSE141526_GSM4205686_BCC2_f702820a50ab	GSE141526	Basal cell carcinoma	epithelial_solid_default	10025	5714	1111	success	5714	success	5714	10025	0	0
GSE141526|GSM4205687_BCC3	GSE141526_GSM4205687_BCC3_796cec0b84ff	GSE141526	Basal cell carcinoma	epithelial_solid_default	12153	1344	723	success	1344	success	1344	12153	0	0
GSE141526|GSM4205688_BCC8	GSE141526_GSM4205688_BCC8_f435b2ac9251	GSE141526	Basal cell carcinoma	epithelial_solid_default	6962	180	102	success	180	skipped_insufficient_cells	0	6962	0	0
GSE141526|GSM4205689_BCC10	GSE141526_GSM4205689_BCC10_4114b438d363	GSE141526	Basal cell carcinoma	epithelial_solid_default	8827	7881	172	success	7881	success	7881	8827	0	0
GSE141526|GSM4205690_ADWST10	GSE141526_GSM4205690_ADWST10_cbbb2b8f9115	GSE141526	Basal cell carcinoma	epithelial_solid_default	7160	568	76	success	568	success	568	7160	0	0
GSE141526|GSM4205691_ADWST11	GSE141526_GSM4205691_ADWST11_e4e27dbf9097	GSE141526	Basal cell carcinoma	epithelial_solid_default	10395	816	577	success	816	success	816	10395	0	0
GSE222315|p1_BCa	GSE222315_p1_BCa_cdf7823b6613	GSE222315	Bladder cancer	epithelial_solid_default	9601	257	3340	success	257	success	257	9601	0	0
GSE222315|p2_BCa	GSE222315_p2_BCa_5484e69065b0	GSE222315	Bladder cancer	epithelial_solid_default	14755	2157	506	success	2157	success	2157	14755	0	0
GSE222315|p2_NAT	GSE222315_p2_NAT_74e0797bc5ae	GSE222315	Bladder cancer	epithelial_solid_default	9644	134	8316	success	134	skipped_insufficient_cells	0	9644	0	0
GSE222315|p3_BCa	GSE222315_p3_BCa_0c667a4d75be	GSE222315	Bladder cancer	epithelial_solid_default	8390	2	5430	skipped_insufficient_cells	0	skipped_insufficient_cells	0	8390	0	0
GSE222315|p3_NAT	GSE222315_p3_NAT_5d06f2a6d587	GSE222315	Bladder cancer	epithelial_solid_default	800	50	426	success	50	skipped_insufficient_cells	0	800	0	0
GSE222315|p4_BCa	GSE222315_p4_BCa_7ee95a5cee21	GSE222315	Bladder cancer	epithelial_solid_default	6160	2	3388	skipped_insufficient_cells	0	skipped_insufficient_cells	0	6160	0	0
GSE222315|p4_NAT	GSE222315_p4_NAT_644d60f79cff	GSE222315	Bladder cancer	epithelial_solid_default	6695	197	4285	success	197	skipped_insufficient_cells	0	6695	0	0
GSE222315|p5_BCa	GSE222315_p5_BCa_73ee5368377c	GSE222315	Bladder cancer	epithelial_solid_default	6832	242	2129	success	242	success	242	6832	0	0
GSE222315|p5_NAT	GSE222315_p5_NAT_482be86ec3d0	GSE222315	Bladder cancer	epithelial_solid_default	5827	199	4326	success	199	skipped_insufficient_cells	0	5827	0	0
GSE222315|p6_BCa	GSE222315_p6_BCa_f3248ee34a28	GSE222315	Bladder cancer	epithelial_solid_default	5617	4866	387	success	4866	success	4866	5617	0	0
GSE222315|p7_BCa	GSE222315_p7_BCa_51bf407b9d64	GSE222315	Bladder cancer	epithelial_solid_default	4953	3986	50	success	3986	success	3986	4953	0	0
GSE222315|p8_BCa	GSE222315_p8_BCa_d08dcce81237	GSE222315	Bladder cancer	epithelial_solid_default	6708	7	1690	skipped_insufficient_cells	0	skipped_insufficient_cells	0	6708	0	0
