sample_uid	sample_token	gse_id	cancer_type	candidate_policy	n_cells	n_candidate	n_reference	infercnv_status	copykat_status	explanation
GSE253013|US-10029425-7	GSE253013_US-10029425-7_89f2a3977c0e	GSE253013	ADENOCARCINOMA	epithelial_solid_default	5526	25	4611	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE253013|US-10029426-1	GSE253013_US-10029426-1_dc5ed0d3ba37	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2912	3	2461	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE253013|US-10029426-2	GSE253013_US-10029426-2_cfe1e015e4f5	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2537	3	2155	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE253013|US-10029426-3	GSE253013_US-10029426-3_16f6abd181f9	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2716	0	2319	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE253013|US-10029426-4	GSE253013_US-10029426-4_f98bf494b361	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2751	3	2304	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE253013|US-10029426-5	GSE253013_US-10029426-5_bcca5c8034a3	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2373	149	1493	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE253013|US-10029426-6	GSE253013_US-10029426-6_0dad8f8353a0	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2372	156	1464	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE253013|US-10029426-7	GSE253013_US-10029426-7_7c85116b8565	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2495	177	1553	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE253013|US-10029426-8	GSE253013_US-10029426-8_565bea3c18bd	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2229	175	1337	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE253013|US-10029431-1	GSE253013_US-10029431-1_753086f7ab73	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2492	7	1758	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE253013|US-10029431-2	GSE253013_US-10029431-2_29de77514e99	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2582	4	1804	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE253013|US-10029431-3	GSE253013_US-10029431-3_8cfe1211f3c6	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2293	8	1628	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE253013|US-10029431-4	GSE253013_US-10029431-4_11e69bb4dff0	GSE253013	ADENOCARCINOMA	epithelial_solid_default	2424	6	1703	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE253013|US-10029432-1	GSE253013_US-10029432-1_5aa1d45b2e28	GSE253013	ADENOCARCINOMA	epithelial_solid_default	4300	9	3465	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE253013|US-10029432-2	GSE253013_US-10029432-2_04ffc5ef0e28	GSE253013	ADENOCARCINOMA	epithelial_solid_default	4474	7	3626	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE253013|US-10029432-3	GSE253013_US-10029432-3_4b18c72002c8	GSE253013	ADENOCARCINOMA	epithelial_solid_default	4121	4	3354	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE253013|US-10029432-4	GSE253013_US-10029432-4_f06d8ae060d9	GSE253013	ADENOCARCINOMA	epithelial_solid_default	4148	2	3414	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE148071|P11	GSE148071_P11_34f89fcd4a2f	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	492	6	174	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE148071|P12	GSE148071_P12_259dc8fe941c	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	774	146	248	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE148071|P13	GSE148071_P13_c472ddd41414	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	762	94	430	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE148071|P19	GSE148071_P19_3940eb40882e	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	388	90	135	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE148071|P2	GSE148071_P2_1eb23b8748d2	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	285	248	23	skipped_insufficient_cells	success	inferCNVpy: candidate/reference below method threshold
GSE148071|P20	GSE148071_P20_bc49975b5cdd	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	354	307	25	skipped_insufficient_cells	success	inferCNVpy: candidate/reference below method threshold
GSE148071|P22	GSE148071_P22_83f8781e94ae	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	591	132	325	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE148071|P24	GSE148071_P24_65325eddc2fd	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	355	60	230	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE148071|P26	GSE148071_P26_185f1603e84b	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	362	28	189	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE148071|P27	GSE148071_P27_bcdeedc0e775	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	522	4	247	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE148071|P31	GSE148071_P31_f00a510d138e	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	368	149	40	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE148071|P33	GSE148071_P33_ee89868ed605	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	314	263	25	skipped_insufficient_cells	success	inferCNVpy: candidate/reference below method threshold
GSE148071|P36	GSE148071_P36_9bf836015582	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	406	88	128	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE148071|P37	GSE148071_P37_06e9d12d7ebd	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	2051	8	1281	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE148071|P38	GSE148071_P38_fdf7fc227f79	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	1059	115	753	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE148071|P4	GSE148071_P4_1191619d4399	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	3998	28	1598	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE148071|P40	GSE148071_P40_0475749c0cbb	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	972	83	303	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE148071|P42	GSE148071_P42_c51233c72dc0	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	853	95	525	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE148071|P7	GSE148071_P7_c50035d520cb	GSE148071	Advanced non-small cell lung cancer	epithelial_solid_default	2238	96	1466	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE141526|GSM4205688_BCC8	GSE141526_GSM4205688_BCC8_f435b2ac9251	GSE141526	Basal cell carcinoma	epithelial_solid_default	6962	180	102	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE222315|p2_NAT	GSE222315_p2_NAT_74e0797bc5ae	GSE222315	Bladder cancer	epithelial_solid_default	9644	134	8316	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE222315|p3_BCa	GSE222315_p3_BCa_0c667a4d75be	GSE222315	Bladder cancer	epithelial_solid_default	8390	2	5430	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE222315|p3_NAT	GSE222315_p3_NAT_5d06f2a6d587	GSE222315	Bladder cancer	epithelial_solid_default	800	50	426	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE222315|p4_BCa	GSE222315_p4_BCa_7ee95a5cee21	GSE222315	Bladder cancer	epithelial_solid_default	6160	2	3388	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE222315|p4_NAT	GSE222315_p4_NAT_644d60f79cff	GSE222315	Bladder cancer	epithelial_solid_default	6695	197	4285	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE222315|p5_NAT	GSE222315_p5_NAT_482be86ec3d0	GSE222315	Bladder cancer	epithelial_solid_default	5827	199	4326	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE222315|p8_BCa	GSE222315_p8_BCa_d08dcce81237	GSE222315	Bladder cancer	epithelial_solid_default	6708	7	1690	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE161529|GSM4909255_N-N280-Epi	GSE161529_GSM4909255_N-N280-Epi_2d619c4edea7	GSE161529	Breast cancer	epithelial_solid_default	1108	897	33	skipped_insufficient_cells	success	inferCNVpy: candidate/reference below method threshold
GSE161529|GSM4909259_N-NE-Epi	GSE161529_GSM4909259_N-NE-Epi_5b8620918914	GSE161529	Breast cancer	epithelial_solid_default	3017	2862	30	skipped_insufficient_cells	success	inferCNVpy: candidate/reference below method threshold
GSE161529|GSM4909267_N-MH0023-Epi	GSE161529_GSM4909267_N-MH0023-Epi_a0adc9ffd725	GSE161529	Breast cancer	epithelial_solid_default	2704	2532	18	skipped_insufficient_cells	success	inferCNVpy: candidate/reference below method threshold
GSE161529|GSM4909273_N-MH275-Epi	GSE161529_GSM4909273_N-MH275-Epi_bb285b9ec2b5	GSE161529	Breast cancer	epithelial_solid_default	5952	5771	20	skipped_insufficient_cells	success	inferCNVpy: candidate/reference below method threshold
GSE161529|GSM4909283_TN-SH0106	GSE161529_GSM4909283_TN-SH0106_104c376f391f	GSE161529	Breast cancer	epithelial_solid_default	886	54	512	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE161529|GSM4909284_TN-MH0114-T2	GSE161529_GSM4909284_TN-MH0114-T2_b659039da987	GSE161529	Breast cancer	epithelial_solid_default	1544	142	1113	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE161529|GSM4909292_HER2-MH0069	GSE161529_GSM4909292_HER2-MH0069_1c135fa3c5cd	GSE161529	Breast cancer	epithelial_solid_default	525	154	203	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE161529|GSM4909319_mER-PM0178	GSE161529_GSM4909319_mER-PM0178_9e809fa242d9	GSE161529	Breast cancer	epithelial_solid_default	7417	6159	477	success	skipped_algorithm_data_limitation	Copykat_python: algorithm data limitation: all_cells_filtered
GSE161529|GSM4909320_mER-MH0068-T	GSE161529_GSM4909320_mER-MH0068-T_c5e7b8ae31e4	GSE161529	Breast cancer	epithelial_solid_default	911	863	14	skipped_insufficient_cells	success	inferCNVpy: candidate/reference below method threshold
GSE161529|GSM4909321_mER-MH0068-LN	GSE161529_GSM4909321_mER-MH0068-LN_ae40e3f26c39	GSE161529	Breast cancer	epithelial_solid_default	4754	4703	12	skipped_insufficient_cells	success	inferCNVpy: candidate/reference below method threshold
GSE261774|GSE261774__GSM8151500_BC17079_filtered_feature_bc_matrix.h5	GSE261774_GSE261774__GSM8151500_BC17079_filtered_feature_bc_matr_368fa13bf0d0	GSE261774	Breast cancer	epithelial_solid_default	1945	20	1576	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE261774|GSE261774__GSM8151501_BC17080_filtered_feature_bc_matrix.h5	GSE261774_GSE261774__GSM8151501_BC17080_filtered_feature_bc_matr_d8982a122bf6	GSE261774	Breast cancer	epithelial_solid_default	2662	6	2160	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE261774|GSE261774__GSM8151502_BC17083_filtered_feature_bc_matrix.h5	GSE261774_GSE261774__GSM8151502_BC17083_filtered_feature_bc_matr_af381d5c265c	GSE261774	Breast cancer	epithelial_solid_default	243	35	187	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE261774|GSE261774__GSM8151505_BC17114_filtered_feature_bc_matrix.h5	GSE261774_GSE261774__GSM8151505_BC17114_filtered_feature_bc_matr_1fafefe9ba3a	GSE261774	Breast cancer	epithelial_solid_default	1549	7	1320	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE261774|GSE261774__GSM8151506_BC17121_filtered_feature_bc_matrix.h5	GSE261774_GSE261774__GSM8151506_BC17121_filtered_feature_bc_matr_4b467a49db42	GSE261774	Breast cancer	epithelial_solid_default	2862	8	2577	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE261774|GSE261774__GSM8151508_BC17134_filtered_feature_bc_matrix.h5	GSE261774_GSE261774__GSM8151508_BC17134_filtered_feature_bc_matr_583188e3492e	GSE261774	Breast cancer	epithelial_solid_default	1673	0	1517	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE261774|GSE261774__GSM8151509_BC17140_filtered_feature_bc_matrix.h5	GSE261774_GSE261774__GSM8151509_BC17140_filtered_feature_bc_matr_8c7448a50b28	GSE261774	Breast cancer	epithelial_solid_default	1422	1	1285	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE261774|GSE261774__GSM8151512_BC17157_filtered_feature_bc_matrix.h5	GSE261774_GSE261774__GSM8151512_BC17157_filtered_feature_bc_matr_12dcc17f50c2	GSE261774	Breast cancer	epithelial_solid_default	1956	0	1679	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE261774|GSE261774__GSM8151513_BC17166_filtered_feature_bc_matrix.h5	GSE261774_GSE261774__GSM8151513_BC17166_filtered_feature_bc_matr_a652bc18e46a	GSE261774	Breast cancer	epithelial_solid_default	2914	1	2731	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE261774|GSE261774__GSM8151514_BC17172_filtered_feature_bc_matrix.h5	GSE261774_GSE261774__GSM8151514_BC17172_filtered_feature_bc_matr_09a200dce7f8	GSE261774	Breast cancer	epithelial_solid_default	2802	4	1984	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE261774|GSE261774__GSM8151515_BC18050_filtered_feature_bc_matrix.h5	GSE261774_GSE261774__GSM8151515_BC18050_filtered_feature_bc_matr_3a8074f8cb1c	GSE261774	Breast cancer	epithelial_solid_default	2275	5	1516	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE261774|GSE261774__GSM8151516_BC18051_filtered_feature_bc_matrix.h5	GSE261774_GSE261774__GSM8151516_BC18051_filtered_feature_bc_matr_cd6b9ecda387	GSE261774	Breast cancer	epithelial_solid_default	2042	14	1576	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE261774|GSE261774__GSM8151517_BC19104_filtered_feature_bc_matrix.h5	GSE261774_GSE261774__GSM8151517_BC19104_filtered_feature_bc_matr_bbeb33cbdced	GSE261774	Breast cancer	epithelial_solid_default	3173	4	1699	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE261774|GSE261774__GSM8151518_BC19108_filtered_feature_bc_matrix.h5	GSE261774_GSE261774__GSM8151518_BC19108_filtered_feature_bc_matr_1b13eae0a898	GSE261774	Breast cancer	epithelial_solid_default	2880	0	2733	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE261774|GSE261774__GSM8151519_BC19115_filtered_feature_bc_matrix.h5	GSE261774_GSE261774__GSM8151519_BC19115_filtered_feature_bc_matr_19a3f57a07b8	GSE261774	Breast cancer	epithelial_solid_default	3449	13	1662	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE261774|GSE261774__GSM8151520_BC19127_filtered_feature_bc_matrix.h5	GSE261774_GSE261774__GSM8151520_BC19127_filtered_feature_bc_matr_c09250c55824	GSE261774	Breast cancer	epithelial_solid_default	3600	0	3022	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE200997|B_cac11	GSE200997_B_cac11_77c76e56d979	GSE200997	CRC	epithelial_solid_default	4201	150	3496	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE200997|B_cac14	GSE200997_B_cac14_9f1dbacca8a0	GSE200997	CRC	epithelial_solid_default	4311	52	3741	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE200997|B_cac4	GSE200997_B_cac4_2fbce8115862	GSE200997	CRC	epithelial_solid_default	2285	144	1841	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE200997|B_cac6	GSE200997_B_cac6_50afbd0aee93	GSE200997	CRC	epithelial_solid_default	516	56	374	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE200997|T_cac10	GSE200997_T_cac10_360ca6b7de16	GSE200997	CRC	epithelial_solid_default	611	25	519	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE200997|T_cac12	GSE200997_T_cac12_f5a6abf17a6e	GSE200997	CRC	epithelial_solid_default	3621	129	2958	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE200997|T_cac13	GSE200997_T_cac13_a79ffc7e3fc4	GSE200997	CRC	epithelial_solid_default	2590	11	2163	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE200997|T_cac15	GSE200997_T_cac15_bf2fec7b828f	GSE200997	CRC	epithelial_solid_default	3468	25	2886	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE200997|T_cac16	GSE200997_T_cac16_1ad54970a432	GSE200997	CRC	epithelial_solid_default	1248	51	1001	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE200997|T_cac4	GSE200997_T_cac4_ff77dd8f7bc8	GSE200997	CRC	epithelial_solid_default	1484	17	1237	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE200997|T_cac5	GSE200997_T_cac5_82fc76fb8ac8	GSE200997	CRC	epithelial_solid_default	160	1	129	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE200997|T_cac6	GSE200997_T_cac6_56d6cba136ee	GSE200997	CRC	epithelial_solid_default	1541	32	1320	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE200997|T_cac8	GSE200997_T_cac8_6d949fc45692	GSE200997	CRC	epithelial_solid_default	786	169	520	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE200997|T_cac9	GSE200997_T_cac9_298e650747bb	GSE200997	CRC	epithelial_solid_default	1459	99	1142	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE197461|GSM5917938_SCC_2	GSE197461_GSM5917938_SCC_2_da0edd6ad64b	GSE197461	Cervical SCC/adenocarcinoma	epithelial_solid_default	6123	91	4121	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE197461|GSM5917943_ADC_4	GSE197461_GSM5917943_ADC_4_d4b01dd40ec5	GSE197461	Cervical SCC/adenocarcinoma	epithelial_solid_default	3606	197	2677	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE297041|TWDD_CE321_C3A1G_HPV	GSE297041_TWDD_CE321_C3A1G_HPV_89d6beef88c7	GSE297041	Cervical cancer	epithelial_solid_default	1042	3	366	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE297041|TWDD_CE326_2	GSE297041_TWDD_CE326_2_d3a8ce108ca8	GSE297041	Cervical cancer	epithelial_solid_default	5778	20	3327	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE297041|TWDD_CE326_3	GSE297041_TWDD_CE326_3_9aa7f0a7caff	GSE297041	Cervical cancer	epithelial_solid_default	8517	5	4176	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE297041|TWDD_CE331E3_XBc3_1	GSE297041_TWDD_CE331E3_XBc3_1_4f2511e02f09	GSE297041	Cervical cancer	epithelial_solid_default	1626	28	894	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE297041|TWDD_CE331_XBc1_1	GSE297041_TWDD_CE331_XBc1_1_c34c84962c6e	GSE297041	Cervical cancer	epithelial_solid_default	2282	100	1483	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
